2025-02-03 14:00:39,701 - INFO - Namespace(device='cuda:3', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=6, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='MnMs', max_channel=256, l2_norm=1e-07, patience=15, wandb=True, cache=True, log_dir='../../de_logistics/MnMs_3UNetlinear_02-03-14-00-38/', log_file_path='../../de_logistics/MnMs_3UNetlinear_02-03-14-00-38/training.log')
Epoch 1/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:05:13,278 - INFO - train_acc:0.9449540744444208 in epoch128
2025-02-03 19:05:13,278 - INFO - Epoch 128: Learning Rate: [8.636189726122842e-05]
Epoch 128/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 19:05:18,567 - INFO - valid_loss:1.192895919084549 in epoch128
2025-02-03 19:05:18,568 - INFO - valid_acc:0.9141989923952812 in epoch128
2025-02-03 19:05:18,568 - INFO - Mean iou = 84.75% in epoch128
Epoch 129/500 [Training]: 100%|███████████████████████████████| 188/188 [02:13<00:00,  1.40batch/s]
2025-02-03 19:07:32,446 - INFO - train_loss:1.1819670079870428 in epoch129
2025-02-03 19:07:32,447 - INFO - train_acc:0.9429105161855109 in epoch129
2025-02-03 19:07:32,447 - INFO - Epoch 129: Learning Rate: [8.614112921705044e-05]
Epoch 129/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.29batch/s]
2025-02-03 19:07:37,696 - INFO - valid_loss:1.1932049095630646 in epoch129
2025-02-03 19:07:37,696 - INFO - valid_acc:0.9149187924248959 in epoch129
2025-02-03 19:07:37,696 - INFO - Mean iou = 84.86% in epoch129
Epoch 130/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 19:09:54,855 - INFO - train_loss:1.182061160498477 in epoch130
2025-02-03 19:09:54,856 - INFO - train_acc:0.9444638865032263 in epoch130
2025-02-03 19:09:54,856 - INFO - Epoch 130: Learning Rate: [8.591887575813589e-05]
Epoch 130/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.23batch/s]
2025-02-03 19:10:00,249 - INFO - valid_loss:1.1928461293379466 in epoch130
2025-02-03 19:10:00,249 - INFO - valid_acc:0.9142570014556864 in epoch130
2025-02-03 19:10:00,249 - INFO - Mean iou = 84.76% in epoch130
Epoch 131/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:12:17,079 - INFO - train_loss:1.182098092550927 in epoch131
2025-02-03 19:12:17,080 - INFO - train_acc:0.9430868760368745 in epoch131
2025-02-03 19:12:17,080 - INFO - Epoch 131: Learning Rate: [8.569514602045396e-05]
Epoch 131/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.31batch/s]
2025-02-03 19:12:22,281 - INFO - valid_loss:1.1929100652535756 in epoch131
2025-02-03 19:12:22,282 - INFO - valid_acc:0.9148507067362669 in epoch131
2025-02-03 19:12:22,282 - INFO - Mean iou = 84.85% in epoch131
Epoch 132/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 19:14:39,462 - INFO - train_loss:1.182017077156838 in epoch132
2025-02-03 19:14:39,463 - INFO - train_acc:0.9444815447148857 in epoch132
2025-02-03 19:14:39,463 - INFO - Epoch 132: Learning Rate: [8.546994920065786e-05]
Epoch 132/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.26batch/s]
2025-02-03 19:14:44,770 - INFO - valid_loss:1.193612555662791 in epoch132
2025-02-03 19:14:44,770 - INFO - valid_acc:0.9111268607260561 in epoch132
2025-02-03 19:14:44,770 - INFO - Mean iou = 84.27% in epoch132
Epoch 133/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 19:17:02,171 - INFO - train_loss:1.1818991240034713 in epoch133
2025-02-03 19:17:02,172 - INFO - train_acc:0.9456054584009618 in epoch133
2025-02-03 19:17:02,172 - INFO - Epoch 133: Learning Rate: [8.524329455570684e-05]
Epoch 133/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.26batch/s]
2025-02-03 19:17:07,486 - INFO - valid_loss:1.1932092607021332 in epoch133
2025-02-03 19:17:07,486 - INFO - valid_acc:0.9141059654579227 in epoch133
2025-02-03 19:17:07,487 - INFO - Mean iou = 84.75% in epoch133
Epoch 134/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:19:24,488 - INFO - train_loss:1.1819475794092138 in epoch134
2025-02-03 19:19:24,489 - INFO - train_acc:0.9474936433715955 in epoch134
2025-02-03 19:19:24,489 - INFO - Epoch 134: Learning Rate: [8.501519140248557e-05]
Epoch 134/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.25batch/s]
2025-02-03 19:19:29,817 - INFO - valid_loss:1.1937514742215474 in epoch134
2025-02-03 19:19:29,817 - INFO - valid_acc:0.9140638102240747 in epoch134
2025-02-03 19:19:29,818 - INFO - Mean iou = 84.73% in epoch134
Epoch 135/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 19:21:47,239 - INFO - train_loss:1.1819589657986418 in epoch135
2025-02-03 19:21:47,239 - INFO - train_acc:0.9448541164828178 in epoch135
2025-02-03 19:21:47,239 - INFO - Epoch 135: Learning Rate: [8.478564911742131e-05]
Epoch 135/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 19:21:52,534 - INFO - valid_loss:1.1931673884391785 in epoch135
2025-02-03 19:21:52,535 - INFO - valid_acc:0.9146664209186501 in epoch135
2025-02-03 19:21:52,535 - INFO - Mean iou = 84.82% in epoch135
Epoch 136/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 19:24:09,569 - INFO - train_loss:1.1818964316489848 in epoch136
2025-02-03 19:24:09,570 - INFO - train_acc:0.9472292800670451 in epoch136
2025-02-03 19:24:09,570 - INFO - Epoch 136: Learning Rate: [8.455467713609831e-05]
Epoch 136/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.24batch/s]
2025-02-03 19:24:14,918 - INFO - valid_loss:1.1929116447766621 in epoch136
2025-02-03 19:24:14,918 - INFO - valid_acc:0.9147578106796344 in epoch136
2025-02-03 19:24:14,919 - INFO - Mean iou = 84.84% in epoch136
Epoch 137/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:26:31,755 - INFO - train_loss:1.1820621255864487 in epoch137
2025-02-03 19:26:31,756 - INFO - train_acc:0.9455507543450892 in epoch137
2025-02-03 19:26:31,756 - INFO - Epoch 137: Learning Rate: [8.432228495287005e-05]
Epoch 137/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.25batch/s]
2025-02-03 19:26:37,086 - INFO - valid_loss:1.193288415670395 in epoch137
2025-02-03 19:26:37,086 - INFO - valid_acc:0.9153379406427185 in epoch137
2025-02-03 19:26:37,086 - INFO - Mean iou = 84.91% in epoch137
Epoch 138/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:28:53,996 - INFO - train_loss:1.1819891213102545 in epoch138
2025-02-03 19:28:53,997 - INFO - train_acc:0.9453838396765114 in epoch138
2025-02-03 19:28:53,997 - INFO - Epoch 138: Learning Rate: [8.408848212046903e-05]
Epoch 138/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.25batch/s]
2025-02-03 19:28:59,337 - INFO - valid_loss:1.1934002538522084 in epoch138
2025-02-03 19:28:59,338 - INFO - valid_acc:0.9087337271844546 in epoch138
2025-02-03 19:28:59,338 - INFO - Mean iou = 83.90% in epoch138
Epoch 139/500 [Training]: 100%|███████████████████████████████| 188/188 [02:13<00:00,  1.41batch/s]
2025-02-03 19:31:12,897 - INFO - train_loss:1.1820093653303512 in epoch139
2025-02-03 19:31:12,898 - INFO - train_acc:0.9455793050035235 in epoch139
2025-02-03 19:31:12,898 - INFO - Epoch 139: Learning Rate: [8.385327824961389e-05]
Epoch 139/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.25batch/s]
2025-02-03 19:31:18,233 - INFO - valid_loss:1.1928483943144481 in epoch139
2025-02-03 19:31:18,233 - INFO - valid_acc:0.9152552659399295 in epoch139
2025-02-03 19:31:18,233 - INFO - Mean iou = 84.90% in epoch139
Epoch 140/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.38batch/s]
2025-02-03 19:33:34,847 - INFO - train_loss:1.1819448452046577 in epoch140
2025-02-03 19:33:34,847 - INFO - train_acc:0.9465254775288728 in epoch140
2025-02-03 19:33:34,848 - INFO - Epoch 140: Learning Rate: [8.361668300861454e-05]
Epoch 140/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.30batch/s]
2025-02-03 19:33:40,072 - INFO - valid_loss:1.1930577357610066 in epoch140
2025-02-03 19:33:40,073 - INFO - valid_acc:0.9124399529217896 in epoch140
2025-02-03 19:33:40,073 - INFO - Mean iou = 84.48% in epoch140
Epoch 141/500 [Training]: 100%|███████████████████████████████| 188/188 [02:13<00:00,  1.40batch/s]
2025-02-03 19:35:53,906 - INFO - train_loss:1.1819041022594938 in epoch141
2025-02-03 19:35:53,907 - INFO - train_acc:0.9471382023070359 in epoch141
2025-02-03 19:35:53,907 - INFO - Epoch 141: Learning Rate: [8.337870612297467e-05]
Epoch 141/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.28batch/s]
2025-02-03 19:35:59,181 - INFO - valid_loss:1.1928173303604126 in epoch141
2025-02-03 19:35:59,182 - INFO - valid_acc:0.9144905314928625 in epoch141
2025-02-03 19:35:59,182 - INFO - Mean iou = 84.79% in epoch141
Epoch 142/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 19:38:16,249 - INFO - train_loss:1.1818539069053975 in epoch142
2025-02-03 19:38:16,250 - INFO - train_acc:0.9468543788907005 in epoch142
2025-02-03 19:38:16,250 - INFO - Epoch 142: Learning Rate: [8.313935737499195e-05]
Epoch 142/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 19:38:21,527 - INFO - valid_loss:1.193138559659322 in epoch142
2025-02-03 19:38:21,527 - INFO - valid_acc:0.913611044875121 in epoch142
2025-02-03 19:38:21,528 - INFO - Mean iou = 84.64% in epoch142
Epoch 143/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 19:40:38,880 - INFO - train_loss:1.182163859301425 in epoch143
2025-02-03 19:40:38,881 - INFO - train_acc:0.9446002866074038 in epoch143
2025-02-03 19:40:38,881 - INFO - Epoch 143: Learning Rate: [8.289864660335593e-05]
Epoch 143/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.21batch/s]
2025-02-03 19:40:44,311 - INFO - valid_loss:1.192821979522705 in epoch143
2025-02-03 19:40:44,312 - INFO - valid_acc:0.9149257363454151 in epoch143
2025-02-03 19:40:44,312 - INFO - Mean iou = 84.84% in epoch143
Epoch 144/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.38batch/s]
2025-02-03 19:43:00,899 - INFO - train_loss:1.1819626790411928 in epoch144
2025-02-03 19:43:00,901 - INFO - train_acc:0.9470959485907136 in epoch144
2025-02-03 19:43:00,901 - INFO - Epoch 144: Learning Rate: [8.265658370274367e-05]
Epoch 144/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.28batch/s]
2025-02-03 19:43:06,171 - INFO - valid_loss:1.193172146876653 in epoch144
2025-02-03 19:43:06,171 - INFO - valid_acc:0.9158400068524305 in epoch144
2025-02-03 19:43:06,171 - INFO - Mean iou = 85.00% in epoch144
Epoch 145/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:45:23,098 - INFO - train_loss:1.1818617449161855 in epoch145
2025-02-03 19:45:23,099 - INFO - train_acc:0.9482717826981368 in epoch145
2025-02-03 19:45:23,099 - INFO - Epoch 145: Learning Rate: [8.241317862341288e-05]
Epoch 145/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.30batch/s]
2025-02-03 19:45:28,332 - INFO - valid_loss:1.193029393752416 in epoch145
2025-02-03 19:45:28,332 - INFO - valid_acc:0.9139302730787268 in epoch145
2025-02-03 19:45:28,332 - INFO - Mean iou = 84.71% in epoch145
Epoch 146/500 [Training]: 100%|███████████████████████████████| 188/188 [02:11<00:00,  1.43batch/s]
2025-02-03 19:47:39,939 - INFO - train_loss:1.1819042962916353 in epoch146
2025-02-03 19:47:39,939 - INFO - train_acc:0.9475696775295649 in epoch146
2025-02-03 19:47:39,940 - INFO - Epoch 146: Learning Rate: [8.216844137079305e-05]
Epoch 146/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.24batch/s]
2025-02-03 19:47:45,288 - INFO - valid_loss:1.1931727627913158 in epoch146
2025-02-03 19:47:45,288 - INFO - valid_acc:0.9121388334275958 in epoch146
2025-02-03 19:47:45,288 - INFO - Mean iou = 84.42% in epoch146
Epoch 147/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:50:02,207 - INFO - train_loss:1.1819887427573508 in epoch147
2025-02-03 19:50:02,207 - INFO - train_acc:0.9471053791467074 in epoch147
2025-02-03 19:50:02,208 - INFO - Epoch 147: Learning Rate: [8.192238200507404e-05]
Epoch 147/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 19:50:07,491 - INFO - valid_loss:1.193179339170456 in epoch147
2025-02-03 19:50:07,491 - INFO - valid_acc:0.9129392058404869 in epoch147
2025-02-03 19:50:07,492 - INFO - Mean iou = 84.54% in epoch147
Epoch 148/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:52:24,405 - INFO - train_loss:1.1819539000379278 in epoch148
2025-02-03 19:52:24,406 - INFO - train_acc:0.9491481665472492 in epoch148
2025-02-03 19:52:24,406 - INFO - Epoch 148: Learning Rate: [8.167501064079264e-05]
Epoch 148/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.26batch/s]
2025-02-03 19:52:29,724 - INFO - valid_loss:1.192765325307846 in epoch148
2025-02-03 19:52:29,724 - INFO - valid_acc:0.9169808226199043 in epoch148
2025-02-03 19:52:29,724 - INFO - Mean iou = 85.19% in epoch148
Epoch 149/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:54:46,485 - INFO - train_loss:1.181691271193484 in epoch149
2025-02-03 19:54:46,486 - INFO - train_acc:0.9489450758800219 in epoch149
2025-02-03 19:54:46,486 - INFO - Epoch 149: Learning Rate: [8.142633744641675e-05]
Epoch 149/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.24batch/s]
2025-02-03 19:54:51,844 - INFO - valid_loss:1.192991743485133 in epoch149
2025-02-03 19:54:51,845 - INFO - valid_acc:0.914122650042041 in epoch149
2025-02-03 19:54:51,845 - INFO - Mean iou = 84.74% in epoch149
Epoch 150/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:57:08,733 - INFO - train_loss:1.1816659595103973 in epoch150
2025-02-03 19:57:08,734 - INFO - train_acc:0.9508763643313376 in epoch150
2025-02-03 19:57:08,734 - INFO - Epoch 150: Learning Rate: [8.117637264392739e-05]
Epoch 150/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.24batch/s]
2025-02-03 19:57:14,088 - INFO - valid_loss:1.1933079759279888 in epoch150
2025-02-03 19:57:14,088 - INFO - valid_acc:0.9172626437401062 in epoch150
2025-02-03 19:57:14,088 - INFO - Mean iou = 85.22% in epoch150
Epoch 151/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 19:59:31,026 - INFO - train_loss:1.1820022102366103 in epoch151
2025-02-03 19:59:31,027 - INFO - train_acc:0.9479096243670965 in epoch151
2025-02-03 19:59:31,027 - INFO - Epoch 151: Learning Rate: [8.092512650839855e-05]
Epoch 151/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.28batch/s]
2025-02-03 19:59:36,296 - INFO - valid_loss:1.1927983860174816 in epoch151
2025-02-03 19:59:36,296 - INFO - valid_acc:0.9169975329926269 in epoch151
2025-02-03 19:59:36,297 - INFO - Mean iou = 85.20% in epoch151
Epoch 152/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 20:01:53,066 - INFO - train_loss:1.1818163477359933 in epoch152
2025-02-03 20:01:53,067 - INFO - train_acc:0.9498832815178855 in epoch152
2025-02-03 20:01:53,067 - INFO - Epoch 152: Learning Rate: [8.067260936757481e-05]
Epoch 152/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.26batch/s]
2025-02-03 20:01:58,389 - INFO - valid_loss:1.1930866638819377 in epoch152
2025-02-03 20:01:58,390 - INFO - valid_acc:0.9111079695347871 in epoch152
2025-02-03 20:01:58,390 - INFO - Mean iou = 84.25% in epoch152
Epoch 153/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 20:04:15,411 - INFO - train_loss:1.1817069497514279 in epoch153
2025-02-03 20:04:15,412 - INFO - train_acc:0.9498672276563488 in epoch153
2025-02-03 20:04:15,412 - INFO - Epoch 153: Learning Rate: [8.041883160144679e-05]
Epoch 153/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.32batch/s]
2025-02-03 20:04:20,587 - INFO - valid_loss:1.193462073802948 in epoch153
2025-02-03 20:04:20,587 - INFO - valid_acc:0.9110164087726617 in epoch153
2025-02-03 20:04:20,587 - INFO - Mean iou = 84.21% in epoch153
Epoch 154/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 20:06:37,448 - INFO - train_loss:1.1817187533733693 in epoch154
2025-02-03 20:06:37,448 - INFO - train_acc:0.9509798339635132 in epoch154
2025-02-03 20:06:37,449 - INFO - Epoch 154: Learning Rate: [8.016380364182443e-05]
Epoch 154/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.28batch/s]
2025-02-03 20:06:42,713 - INFO - valid_loss:1.1930225888888042 in epoch154
2025-02-03 20:06:42,714 - INFO - valid_acc:0.9144381196341312 in epoch154
2025-02-03 20:06:42,714 - INFO - Mean iou = 84.78% in epoch154
Epoch 155/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 20:08:59,963 - INFO - train_loss:1.1815096805704401 in epoch155
2025-02-03 20:08:59,963 - INFO - train_acc:0.952236735501781 in epoch155
2025-02-03 20:08:59,963 - INFO - Epoch 155: Learning Rate: [7.990753597190834e-05]
Epoch 155/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.35batch/s]
2025-02-03 20:09:05,069 - INFO - valid_loss:1.1934616963068645 in epoch155
2025-02-03 20:09:05,069 - INFO - valid_acc:0.9143856324389329 in epoch155
2025-02-03 20:09:05,069 - INFO - Mean iou = 84.77% in epoch155
Epoch 156/500 [Training]: 100%|███████████████████████████████| 188/188 [02:13<00:00,  1.41batch/s]
2025-02-03 20:11:18,811 - INFO - train_loss:1.1816971067418442 in epoch156
2025-02-03 20:11:18,811 - INFO - train_acc:0.9499553510967741 in epoch156
2025-02-03 20:11:18,812 - INFO - Epoch 156: Learning Rate: [7.965003912585867e-05]
Epoch 156/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.24batch/s]
2025-02-03 20:11:24,173 - INFO - valid_loss:1.1928480366865795 in epoch156
2025-02-03 20:11:24,173 - INFO - valid_acc:0.9140680888725105 in epoch156
2025-02-03 20:11:24,174 - INFO - Mean iou = 84.71% in epoch156
Epoch 157/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 20:13:41,234 - INFO - train_loss:1.1816298035865134 in epoch157
2025-02-03 20:13:41,235 - INFO - train_acc:0.951551444371616 in epoch157
2025-02-03 20:13:41,235 - INFO - Epoch 157: Learning Rate: [7.939132368836219e-05]
Epoch 157/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.33batch/s]
2025-02-03 20:13:46,396 - INFO - valid_loss:1.1932218770186107 in epoch157
2025-02-03 20:13:46,396 - INFO - valid_acc:0.9154341589857163 in epoch157
2025-02-03 20:13:46,396 - INFO - Mean iou = 84.94% in epoch157
Epoch 158/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 20:16:03,623 - INFO - train_loss:1.1815680316153994 in epoch158
2025-02-03 20:16:03,624 - INFO - train_acc:0.9519878440659392 in epoch158
2025-02-03 20:16:03,624 - INFO - Epoch 158: Learning Rate: [7.913140029419726e-05]
Epoch 158/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 20:16:08,917 - INFO - valid_loss:1.1928037504355113 in epoch158
2025-02-03 20:16:08,918 - INFO - valid_acc:0.9165666094074117 in epoch158
2025-02-03 20:16:08,918 - INFO - Mean iou = 85.13% in epoch158
Epoch 159/500 [Training]: 100%|███████████████████████████████| 188/188 [02:13<00:00,  1.41batch/s]
2025-02-03 20:18:22,031 - INFO - train_loss:1.1818026849564085 in epoch159
2025-02-03 20:18:22,032 - INFO - train_acc:0.9503860316324346 in epoch159
2025-02-03 20:18:22,032 - INFO - Epoch 159: Learning Rate: [7.887027962779653e-05]
Epoch 159/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.25batch/s]
2025-02-03 20:18:27,364 - INFO - valid_loss:1.1928944985071819 in epoch159
2025-02-03 20:18:27,365 - INFO - valid_acc:0.9144048583649842 in epoch159
2025-02-03 20:18:27,365 - INFO - Mean iou = 84.77% in epoch159
Epoch 160/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 20:20:44,516 - INFO - train_loss:1.1816231221594709 in epoch160
2025-02-03 20:20:44,517 - INFO - train_acc:0.9511191036805655 in epoch160
2025-02-03 20:20:44,519 - INFO - Epoch 160: Learning Rate: [7.860797242280787e-05]
Epoch 160/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.28batch/s]
2025-02-03 20:20:49,794 - INFO - valid_loss:1.193187654018402 in epoch160
2025-02-03 20:20:49,794 - INFO - valid_acc:0.9164578255604648 in epoch160
2025-02-03 20:20:49,794 - INFO - Mean iou = 85.09% in epoch160
Epoch 161/500 [Training]: 100%|███████████████████████████████| 188/188 [02:12<00:00,  1.42batch/s]
2025-02-03 20:23:02,276 - INFO - train_loss:1.1815411118750876 in epoch161
2025-02-03 20:23:02,277 - INFO - train_acc:0.9533813323812561 in epoch161
2025-02-03 20:23:02,277 - INFO - Epoch 161: Learning Rate: [7.83444894616531e-05]
Epoch 161/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.28batch/s]
2025-02-03 20:23:07,547 - INFO - valid_loss:1.193209946155548 in epoch161
2025-02-03 20:23:07,548 - INFO - valid_acc:0.9158128136416447 in epoch161
2025-02-03 20:23:07,548 - INFO - Mean iou = 84.99% in epoch161
Epoch 162/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 20:25:24,314 - INFO - train_loss:1.1816151097733925 in epoch162
2025-02-03 20:25:24,315 - INFO - train_acc:0.9526864518426662 in epoch162
2025-02-03 20:25:24,315 - INFO - Epoch 162: Learning Rate: [7.807984157508475e-05]
Epoch 162/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.28batch/s]
2025-02-03 20:25:29,578 - INFO - valid_loss:1.1929154594739277 in epoch162
2025-02-03 20:25:29,578 - INFO - valid_acc:0.9138557483849015 in epoch162
2025-02-03 20:25:29,579 - INFO - Mean iou = 84.68% in epoch162
Epoch 163/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.38batch/s]
2025-02-03 20:27:46,277 - INFO - train_loss:1.1815698457525132 in epoch163
2025-02-03 20:27:46,278 - INFO - train_acc:0.9536145454749604 in epoch163
2025-02-03 20:27:46,278 - INFO - Epoch 163: Learning Rate: [7.781403964174087e-05]
Epoch 163/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.29batch/s]
2025-02-03 20:27:51,515 - INFO - valid_loss:1.193796585003535 in epoch163
2025-02-03 20:27:51,515 - INFO - valid_acc:0.9146566251967272 in epoch163
2025-02-03 20:27:51,516 - INFO - Mean iou = 84.81% in epoch163
Epoch 164/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.38batch/s]
2025-02-03 20:30:08,234 - INFO - train_loss:1.1815805054725486 in epoch164
2025-02-03 20:30:08,235 - INFO - train_acc:0.952547769555374 in epoch164
2025-02-03 20:30:08,235 - INFO - Epoch 164: Learning Rate: [7.754709458769787e-05]
Epoch 164/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.31batch/s]
2025-02-03 20:30:13,430 - INFO - valid_loss:1.1932643552621205 in epoch164
2025-02-03 20:30:13,431 - INFO - valid_acc:0.9159579757078341 in epoch164
2025-02-03 20:30:13,431 - INFO - Mean iou = 85.02% in epoch164
Epoch 165/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.38batch/s]
2025-02-03 20:32:30,002 - INFO - train_loss:1.1816785982314577 in epoch165
2025-02-03 20:32:30,003 - INFO - train_acc:0.9511506648505094 in epoch165
2025-02-03 20:32:30,003 - INFO - Epoch 165: Learning Rate: [7.727901738602139e-05]
Epoch 165/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.29batch/s]
2025-02-03 20:32:35,244 - INFO - valid_loss:1.1931685507297516 in epoch165
2025-02-03 20:32:35,245 - INFO - valid_acc:0.9135937545067009 in epoch165
2025-02-03 20:32:35,245 - INFO - Mean iou = 84.66% in epoch165
Epoch 166/500 [Training]: 100%|███████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 20:34:52,372 - INFO - train_loss:1.1815293152281579 in epoch166
2025-02-03 20:34:52,373 - INFO - train_acc:0.9528070452823107 in epoch166
2025-02-03 20:34:52,373 - INFO - Epoch 166: Learning Rate: [7.700981905631518e-05]
Epoch 166/500 [Validation]: 100%|███████████████████████████████| 12/12 [00:05<00:00,  2.29batch/s]
2025-02-03 20:34:57,612 - INFO - valid_loss:1.1932388643423717 in epoch166
2025-02-03 20:34:57,612 - INFO - valid_acc:0.9150365186201596 in epoch166
2025-02-03 20:34:57,612 - INFO - Mean iou = 84.87% in epoch166
Epoch 167/500 [Training]: 100%|███████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 20:37:14,517 - INFO - train_loss:1.181581792679239 in epoch167
2025-02-03 20:37:14,518 - INFO - train_acc:0.9535382476878888 in epoch167
2025-02-03 20:37:14,518 - INFO - Epoch 167: Learning Rate: [7.673951066426821e-05]
