2025-02-02 16:35:57,616 - INFO - Namespace(device='cuda:3', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=8, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='ACDC', max_channel=256, l2_norm=1e-07, patience=15, aug=False, wandb=True, cache=True, log_dir='../../de_logistics/ACDC_2UNetlinear_02-02-16-35-56/', log_file_path='../../de_logistics/ACDC_2UNetlinear_02-02-16-35-56/training.log')
Epoch 1/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 18:55:57,050 - INFO - train_loss:1.1521338017781575 in epoch148
2025-02-02 18:55:57,051 - INFO - train_acc:0.9708532521702072 in epoch148
2025-02-02 18:55:57,051 - INFO - Epoch 148: Learning Rate: [8.167501064079264e-05]
Epoch 148/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.13batch/s]
2025-02-02 18:56:03,154 - INFO - valid_loss:1.151284126135019 in epoch148
2025-02-02 18:56:03,155 - INFO - valid_acc:0.9360602534712632 in epoch148
2025-02-02 18:56:03,155 - INFO - Mean iou = 88.32% in epoch148
Epoch 149/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 18:56:51,928 - INFO - train_loss:1.1520706272125245 in epoch149
2025-02-02 18:56:51,928 - INFO - train_acc:0.9720583505925148 in epoch149
2025-02-02 18:56:51,928 - INFO - Epoch 149: Learning Rate: [8.142633744641675e-05]
Epoch 149/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.10batch/s]
2025-02-02 18:56:58,124 - INFO - valid_loss:1.1512549473689153 in epoch149
2025-02-02 18:56:58,125 - INFO - valid_acc:0.9362637257451598 in epoch149
2025-02-02 18:56:58,125 - INFO - Mean iou = 88.36% in epoch149
Epoch 150/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 18:57:46,402 - INFO - train_loss:1.1518615341186524 in epoch150
2025-02-02 18:57:46,403 - INFO - train_acc:0.9725284414412653 in epoch150
2025-02-02 18:57:46,403 - INFO - Epoch 150: Learning Rate: [8.117637264392739e-05]
Epoch 150/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.06batch/s]
2025-02-02 18:57:52,718 - INFO - valid_loss:1.1520649561515222 in epoch150
2025-02-02 18:57:52,718 - INFO - valid_acc:0.9346379375128934 in epoch150
2025-02-02 18:57:52,718 - INFO - Mean iou = 88.10% in epoch150
Epoch 151/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 18:58:41,385 - INFO - train_loss:1.1523383172353108 in epoch151
2025-02-02 18:58:41,386 - INFO - train_acc:0.9723003868711061 in epoch151
2025-02-02 18:58:41,386 - INFO - Epoch 151: Learning Rate: [8.092512650839855e-05]
Epoch 151/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.13batch/s]
2025-02-02 18:58:47,492 - INFO - valid_loss:1.15096220603356 in epoch151
2025-02-02 18:58:47,493 - INFO - valid_acc:0.9379966762283334 in epoch151
2025-02-02 18:58:47,493 - INFO - Mean iou = 88.65% in epoch151
Epoch 152/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 18:59:35,989 - INFO - train_loss:1.1521576929092407 in epoch152
2025-02-02 18:59:35,990 - INFO - train_acc:0.972769179272312 in epoch152
2025-02-02 18:59:35,990 - INFO - Epoch 152: Learning Rate: [8.067260936757481e-05]
Epoch 152/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.02batch/s]
2025-02-02 18:59:42,425 - INFO - valid_loss:1.1516511256878192 in epoch152
2025-02-02 18:59:42,426 - INFO - valid_acc:0.9371595349678737 in epoch152
2025-02-02 18:59:42,426 - INFO - Mean iou = 88.52% in epoch152
Epoch 153/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.52batch/s]
2025-02-02 19:00:31,626 - INFO - train_loss:1.1521643972396851 in epoch153
2025-02-02 19:00:31,627 - INFO - train_acc:0.9726945027075236 in epoch153
2025-02-02 19:00:31,627 - INFO - Epoch 153: Learning Rate: [8.041883160144679e-05]
Epoch 153/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.05batch/s]
2025-02-02 19:00:37,967 - INFO - valid_loss:1.1513884159234853 in epoch153
2025-02-02 19:00:37,968 - INFO - valid_acc:0.9364727810168166 in epoch153
2025-02-02 19:00:37,968 - INFO - Mean iou = 88.39% in epoch153
Epoch 154/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.56batch/s]
2025-02-02 19:01:26,169 - INFO - train_loss:1.1519985357920328 in epoch154
2025-02-02 19:01:26,170 - INFO - train_acc:0.9723603228908362 in epoch154
2025-02-02 19:01:26,170 - INFO - Epoch 154: Learning Rate: [8.016380364182443e-05]
Epoch 154/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.11batch/s]
2025-02-02 19:01:32,334 - INFO - valid_loss:1.1511607261804433 in epoch154
2025-02-02 19:01:32,334 - INFO - valid_acc:0.9369288212098762 in epoch154
2025-02-02 19:01:32,334 - INFO - Mean iou = 88.48% in epoch154
Epoch 155/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:02:21,134 - INFO - train_loss:1.1518917973836262 in epoch155
2025-02-02 19:02:21,135 - INFO - train_acc:0.972914294431673 in epoch155
2025-02-02 19:02:21,135 - INFO - Epoch 155: Learning Rate: [7.990753597190834e-05]
Epoch 155/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.12batch/s]
2025-02-02 19:02:27,275 - INFO - valid_loss:1.1512404588552623 in epoch155
2025-02-02 19:02:27,275 - INFO - valid_acc:0.9373929924383663 in epoch155
2025-02-02 19:02:27,275 - INFO - Mean iou = 88.56% in epoch155
Epoch 156/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:03:15,689 - INFO - train_loss:1.1522003825505573 in epoch156
2025-02-02 19:03:15,689 - INFO - train_acc:0.9728365261638987 in epoch156
2025-02-02 19:03:15,689 - INFO - Epoch 156: Learning Rate: [7.965003912585867e-05]
Epoch 156/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.07batch/s]
2025-02-02 19:03:21,960 - INFO - valid_loss:1.1509062235171978 in epoch156
2025-02-02 19:03:21,961 - INFO - valid_acc:0.9376784207808385 in epoch156
2025-02-02 19:03:21,961 - INFO - Mean iou = 88.59% in epoch156
Epoch 157/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:04:10,239 - INFO - train_loss:1.151894704500834 in epoch157
2025-02-02 19:04:10,239 - INFO - train_acc:0.9730110863565411 in epoch157
2025-02-02 19:04:10,240 - INFO - Epoch 157: Learning Rate: [7.939132368836219e-05]
Epoch 157/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.07batch/s]
2025-02-02 19:04:16,529 - INFO - valid_loss:1.1513849863639245 in epoch157
2025-02-02 19:04:16,530 - INFO - valid_acc:0.9359804827157089 in epoch157
2025-02-02 19:04:16,530 - INFO - Mean iou = 88.33% in epoch157
Epoch 158/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:05:05,234 - INFO - train_loss:1.1519686317443847 in epoch158
2025-02-02 19:05:05,235 - INFO - train_acc:0.9731024973036938 in epoch158
2025-02-02 19:05:05,235 - INFO - Epoch 158: Learning Rate: [7.913140029419726e-05]
Epoch 158/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.08batch/s]
2025-02-02 19:05:11,496 - INFO - valid_loss:1.1512371301651 in epoch158
2025-02-02 19:05:11,496 - INFO - valid_acc:0.9365931013970678 in epoch158
2025-02-02 19:05:11,496 - INFO - Mean iou = 88.42% in epoch158
Epoch 159/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:05:59,781 - INFO - train_loss:1.1521108786265055 in epoch159
2025-02-02 19:05:59,782 - INFO - train_acc:0.9732299480000073 in epoch159
2025-02-02 19:05:59,782 - INFO - Epoch 159: Learning Rate: [7.887027962779653e-05]
Epoch 159/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.15batch/s]
2025-02-02 19:06:05,833 - INFO - valid_loss:1.151645907988915 in epoch159
2025-02-02 19:06:05,833 - INFO - valid_acc:0.9359881585364487 in epoch159
2025-02-02 19:06:05,833 - INFO - Mean iou = 88.33% in epoch159
Epoch 160/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:06:54,409 - INFO - train_loss:1.152220023473104 in epoch160
2025-02-02 19:06:54,410 - INFO - train_acc:0.9735758795635376 in epoch160
2025-02-02 19:06:54,410 - INFO - Epoch 160: Learning Rate: [7.860797242280787e-05]
Epoch 160/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.09batch/s]
2025-02-02 19:07:00,630 - INFO - valid_loss:1.1515095967512865 in epoch160
2025-02-02 19:07:00,630 - INFO - valid_acc:0.93591251906791 in epoch160
2025-02-02 19:07:00,630 - INFO - Mean iou = 88.32% in epoch160
Epoch 161/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.53batch/s]
2025-02-02 19:07:49,650 - INFO - train_loss:1.1519295565287273 in epoch161
2025-02-02 19:07:49,651 - INFO - train_acc:0.973822893751997 in epoch161
2025-02-02 19:07:49,651 - INFO - Epoch 161: Learning Rate: [7.83444894616531e-05]
Epoch 161/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.03batch/s]
2025-02-02 19:07:56,052 - INFO - valid_loss:1.1515465791408832 in epoch161
2025-02-02 19:07:56,053 - INFO - valid_acc:0.9369386366610567 in epoch161
2025-02-02 19:07:56,053 - INFO - Mean iou = 88.48% in epoch161
Epoch 162/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:08:44,425 - INFO - train_loss:1.1517090113957722 in epoch162
2025-02-02 19:08:44,426 - INFO - train_acc:0.9738888694472665 in epoch162
2025-02-02 19:08:44,426 - INFO - Epoch 162: Learning Rate: [7.807984157508475e-05]
Epoch 162/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.08batch/s]
2025-02-02 19:08:50,676 - INFO - valid_loss:1.1511076505367572 in epoch162
2025-02-02 19:08:50,677 - INFO - valid_acc:0.9360908447763158 in epoch162
2025-02-02 19:08:50,677 - INFO - Mean iou = 88.33% in epoch162
Epoch 163/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:09:39,049 - INFO - train_loss:1.152026964823405 in epoch163
2025-02-02 19:09:39,049 - INFO - train_acc:0.9737435708979395 in epoch163
2025-02-02 19:09:39,050 - INFO - Epoch 163: Learning Rate: [7.781403964174087e-05]
Epoch 163/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.10batch/s]
2025-02-02 19:09:45,242 - INFO - valid_loss:1.1510994892853956 in epoch163
2025-02-02 19:09:45,243 - INFO - valid_acc:0.9360224109809159 in epoch163
2025-02-02 19:09:45,243 - INFO - Mean iou = 88.32% in epoch163
Epoch 164/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:10:33,848 - INFO - train_loss:1.1518336311976114 in epoch164
2025-02-02 19:10:33,848 - INFO - train_acc:0.9738985711971508 in epoch164
2025-02-02 19:10:33,848 - INFO - Epoch 164: Learning Rate: [7.754709458769787e-05]
Epoch 164/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.11batch/s]
2025-02-02 19:10:40,011 - INFO - valid_loss:1.1512888394869292 in epoch164
2025-02-02 19:10:40,011 - INFO - valid_acc:0.9360649059993762 in epoch164
2025-02-02 19:10:40,011 - INFO - Mean iou = 88.34% in epoch164
Epoch 165/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:11:28,476 - INFO - train_loss:1.1517915789286295 in epoch165
2025-02-02 19:11:28,476 - INFO - train_acc:0.9742905824830314 in epoch165
2025-02-02 19:11:28,476 - INFO - Epoch 165: Learning Rate: [7.727901738602139e-05]
Epoch 165/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.14batch/s]
2025-02-02 19:11:34,540 - INFO - valid_loss:1.1513140751765325 in epoch165
2025-02-02 19:11:34,540 - INFO - valid_acc:0.9372956730807632 in epoch165
2025-02-02 19:11:34,541 - INFO - Mean iou = 88.54% in epoch165
Epoch 166/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:12:23,022 - INFO - train_loss:1.1521600357691446 in epoch166
2025-02-02 19:12:23,023 - INFO - train_acc:0.9737101442401892 in epoch166
2025-02-02 19:12:23,023 - INFO - Epoch 166: Learning Rate: [7.700981905631518e-05]
Epoch 166/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.09batch/s]
2025-02-02 19:12:29,244 - INFO - valid_loss:1.1513671783300548 in epoch166
2025-02-02 19:12:29,244 - INFO - valid_acc:0.9364535690626329 in epoch166
2025-02-02 19:12:29,244 - INFO - Mean iou = 88.39% in epoch166
Epoch 167/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:13:17,616 - INFO - train_loss:1.152033371925354 in epoch167
2025-02-02 19:13:17,616 - INFO - train_acc:0.9736139702810099 in epoch167
2025-02-02 19:13:17,616 - INFO - Epoch 167: Learning Rate: [7.673951066426821e-05]
Epoch 167/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.09batch/s]
2025-02-02 19:13:23,852 - INFO - valid_loss:1.151319512954125 in epoch167
2025-02-02 19:13:23,852 - INFO - valid_acc:0.9378515494533848 in epoch167
2025-02-02 19:13:23,853 - INFO - Mean iou = 88.63% in epoch167
Epoch 168/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:14:12,135 - INFO - train_loss:1.1517606560389202 in epoch168
2025-02-02 19:14:12,135 - INFO - train_acc:0.9742360523541013 in epoch168
2025-02-02 19:14:12,135 - INFO - Epoch 168: Learning Rate: [7.646810332119975e-05]
Epoch 168/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.07batch/s]
2025-02-02 19:14:18,412 - INFO - valid_loss:1.1511349769739003 in epoch168
2025-02-02 19:14:18,413 - INFO - valid_acc:0.9385027710886222 in epoch168
2025-02-02 19:14:18,413 - INFO - Mean iou = 88.74% in epoch168
Epoch 169/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:15:07,237 - INFO - train_loss:1.1518694670995075 in epoch169
2025-02-02 19:15:07,237 - INFO - train_acc:0.9746440893728182 in epoch169
2025-02-02 19:15:07,237 - INFO - Epoch 169: Learning Rate: [7.619560818360264e-05]
Epoch 169/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.07batch/s]
2025-02-02 19:15:13,504 - INFO - valid_loss:1.151108485001784 in epoch169
2025-02-02 19:15:13,505 - INFO - valid_acc:0.9367330736883694 in epoch169
2025-02-02 19:15:13,505 - INFO - Mean iou = 88.44% in epoch169
Epoch 170/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:16:02,210 - INFO - train_loss:1.1517457008361816 in epoch170
2025-02-02 19:16:02,210 - INFO - train_acc:0.9747622190886989 in epoch170
2025-02-02 19:16:02,210 - INFO - Epoch 170: Learning Rate: [7.592203645268473e-05]
Epoch 170/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.07batch/s]
2025-02-02 19:16:08,503 - INFO - valid_loss:1.1515365013709435 in epoch170
2025-02-02 19:16:08,516 - INFO - valid_acc:0.9364071664733751 in epoch170
2025-02-02 19:16:08,516 - INFO - Mean iou = 88.39% in epoch170
Epoch 171/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:16:56,768 - INFO - train_loss:1.1518945995966594 in epoch171
2025-02-02 19:16:56,768 - INFO - train_acc:0.9748031428141235 in epoch171
2025-02-02 19:16:56,768 - INFO - Epoch 171: Learning Rate: [7.56473993739083e-05]
Epoch 171/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.10batch/s]
2025-02-02 19:17:02,946 - INFO - valid_loss:1.1511802214842577 in epoch171
2025-02-02 19:17:02,946 - INFO - valid_acc:0.9372149981344821 in epoch171
2025-02-02 19:17:02,946 - INFO - Mean iou = 88.52% in epoch171
Epoch 172/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:17:51,325 - INFO - train_loss:1.1517070388793946 in epoch172
2025-02-02 19:17:51,325 - INFO - train_acc:0.9753422013094 in epoch172
2025-02-02 19:17:51,326 - INFO - Epoch 172: Learning Rate: [7.5371708236528e-05]
Epoch 172/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.11batch/s]
2025-02-02 19:17:57,494 - INFO - valid_loss:1.1511958195612981 in epoch172
2025-02-02 19:17:57,494 - INFO - valid_acc:0.9364157051993133 in epoch172
2025-02-02 19:17:57,494 - INFO - Mean iou = 88.39% in epoch172
Epoch 173/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.53batch/s]
2025-02-02 19:18:46,623 - INFO - train_loss:1.151681129137675 in epoch173
2025-02-02 19:18:46,624 - INFO - train_acc:0.975284465650078 in epoch173
2025-02-02 19:18:46,624 - INFO - Epoch 173: Learning Rate: [7.509497437312674e-05]
Epoch 173/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.06batch/s]
2025-02-02 19:18:52,926 - INFO - valid_loss:1.1511860994192271 in epoch173
2025-02-02 19:18:52,926 - INFO - valid_acc:0.9369893924911031 in epoch173
2025-02-02 19:18:52,927 - INFO - Mean iou = 88.48% in epoch173
Epoch 174/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.52batch/s]
2025-02-02 19:19:42,136 - INFO - train_loss:1.1518757963180541 in epoch174
2025-02-02 19:19:42,137 - INFO - train_acc:0.9751691898312536 in epoch174
2025-02-02 19:19:42,137 - INFO - Epoch 174: Learning Rate: [7.481720915914969e-05]
Epoch 174/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.09batch/s]
2025-02-02 19:19:48,350 - INFO - valid_loss:1.1516657517506526 in epoch174
2025-02-02 19:19:48,350 - INFO - valid_acc:0.9359330105875157 in epoch174
2025-02-02 19:19:48,350 - INFO - Mean iou = 88.30% in epoch174
Epoch 175/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:20:36,999 - INFO - train_loss:1.1518468697865805 in epoch175
2025-02-02 19:20:37,000 - INFO - train_acc:0.9752482432311456 in epoch175
2025-02-02 19:20:37,000 - INFO - Epoch 175: Learning Rate: [7.45384240124369e-05]
Epoch 175/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.04batch/s]
2025-02-02 19:20:43,378 - INFO - valid_loss:1.1513147629224336 in epoch175
2025-02-02 19:20:43,379 - INFO - valid_acc:0.9370608907397677 in epoch175
2025-02-02 19:20:43,379 - INFO - Mean iou = 88.49% in epoch175
Epoch 176/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:21:32,107 - INFO - train_loss:1.1519103082021078 in epoch176
2025-02-02 19:21:32,108 - INFO - train_acc:0.9751469565910394 in epoch176
2025-02-02 19:21:32,108 - INFO - Epoch 176: Learning Rate: [7.425863039275376e-05]
Epoch 176/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.06batch/s]
2025-02-02 19:21:38,435 - INFO - valid_loss:1.1514468468152559 in epoch176
2025-02-02 19:21:38,436 - INFO - valid_acc:0.9366512514395393 in epoch176
2025-02-02 19:21:38,436 - INFO - Mean iou = 88.42% in epoch176
Epoch 177/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.53batch/s]
2025-02-02 19:22:27,336 - INFO - train_loss:1.1518787018458048 in epoch177
2025-02-02 19:22:27,336 - INFO - train_acc:0.975312629609454 in epoch177
2025-02-02 19:22:27,336 - INFO - Epoch 177: Learning Rate: [7.397783980132019e-05]
Epoch 177/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.11batch/s]
2025-02-02 19:22:33,503 - INFO - valid_loss:1.1515388030272264 in epoch177
2025-02-02 19:22:33,504 - INFO - valid_acc:0.9363755120551146 in epoch177
2025-02-02 19:22:33,504 - INFO - Mean iou = 88.39% in epoch177
Epoch 178/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:23:22,106 - INFO - train_loss:1.1515849367777506 in epoch178
2025-02-02 19:23:22,107 - INFO - train_acc:0.9758853544244505 in epoch178
2025-02-02 19:23:22,107 - INFO - Epoch 178: Learning Rate: [7.369606378033756e-05]
Epoch 178/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.05batch/s]
2025-02-02 19:23:28,456 - INFO - valid_loss:1.1514405012130737 in epoch178
2025-02-02 19:23:28,456 - INFO - valid_acc:0.9356091768296011 in epoch178
2025-02-02 19:23:28,457 - INFO - Mean iou = 88.26% in epoch178
Epoch 179/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:24:16,831 - INFO - train_loss:1.1518087450663248 in epoch179
2025-02-02 19:24:16,832 - INFO - train_acc:0.9758948617392754 in epoch179
2025-02-02 19:24:16,832 - INFO - Epoch 179: Learning Rate: [7.34133139125145e-05]
Epoch 179/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.12batch/s]
2025-02-02 19:24:22,953 - INFO - valid_loss:1.1511864753869863 in epoch179
2025-02-02 19:24:22,954 - INFO - valid_acc:0.9366367986588006 in epoch179
2025-02-02 19:24:22,954 - INFO - Mean iou = 88.43% in epoch179
Epoch 180/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:25:11,510 - INFO - train_loss:1.1517366377512614 in epoch180
2025-02-02 19:25:11,511 - INFO - train_acc:0.9759628879802953 in epoch180
2025-02-02 19:25:11,511 - INFO - Epoch 180: Learning Rate: [7.312960182059058e-05]
Epoch 180/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.03batch/s]
2025-02-02 19:25:17,923 - INFO - valid_loss:1.1511741418104906 in epoch180
2025-02-02 19:25:17,924 - INFO - valid_acc:0.9368319512112149 in epoch180
2025-02-02 19:25:17,924 - INFO - Mean iou = 88.45% in epoch180
Epoch 181/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.52batch/s]
2025-02-02 19:26:07,198 - INFO - train_loss:1.1516862964630128 in epoch181
2025-02-02 19:26:07,199 - INFO - train_acc:0.9759309034474875 in epoch181
2025-02-02 19:26:07,199 - INFO - Epoch 181: Learning Rate: [7.284493916685866e-05]
Epoch 181/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.14batch/s]
2025-02-02 19:26:13,289 - INFO - valid_loss:1.151272672873277 in epoch181
2025-02-02 19:26:13,289 - INFO - valid_acc:0.9374235338606811 in epoch181
2025-02-02 19:26:13,289 - INFO - Mean iou = 88.57% in epoch181
Epoch 182/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 19:27:01,619 - INFO - train_loss:1.151718765894572 in epoch182
2025-02-02 19:27:01,620 - INFO - train_acc:0.9764011126095482 in epoch182
2025-02-02 19:27:01,620 - INFO - Epoch 182: Learning Rate: [7.255933765268554e-05]
Epoch 182/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.13batch/s]
2025-02-02 19:27:07,725 - INFO - valid_loss:1.151239092533405 in epoch182
2025-02-02 19:27:07,726 - INFO - valid_acc:0.9363755704656397 in epoch182
2025-02-02 19:27:07,726 - INFO - Mean iou = 88.38% in epoch182
Epoch 183/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.51batch/s]
2025-02-02 19:27:57,246 - INFO - train_loss:1.1516578197479248 in epoch183
2025-02-02 19:27:57,246 - INFO - train_acc:0.9764782045388002 in epoch183
2025-02-02 19:27:57,246 - INFO - Epoch 183: Learning Rate: [7.22728090180308e-05]
Epoch 183/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.08batch/s]
2025-02-02 19:28:03,510 - INFO - valid_loss:1.152150117433988 in epoch183
2025-02-02 19:28:03,511 - INFO - valid_acc:0.934596166191735 in epoch183
2025-02-02 19:28:03,511 - INFO - Mean iou = 88.11% in epoch183
Epoch 184/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.53batch/s]
2025-02-02 19:28:52,490 - INFO - train_loss:1.1519774691263835 in epoch184
2025-02-02 19:28:52,491 - INFO - train_acc:0.9762054182768893 in epoch184
2025-02-02 19:28:52,491 - INFO - Epoch 184: Learning Rate: [7.198536504096438e-05]
Epoch 184/500 [Validation]: 100%|████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.08batch/s]
2025-02-02 19:28:58,729 - INFO - valid_loss:1.15142455467811 in epoch184
2025-02-02 19:28:58,730 - INFO - valid_acc:0.936598345243656 in epoch184
2025-02-02 19:28:58,730 - INFO - Mean iou = 88.44% in epoch184
Epoch 185/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 19:29:47,396 - INFO - train_loss:1.1515953143437703 in epoch185
2025-02-02 19:29:47,396 - INFO - train_acc:0.9760338009430323 in epoch185
2025-02-02 19:29:47,397 - INFO - Epoch 185: Learning Rate: [7.169701753718232e-05]
